bu_links,c_address,c_name,c_product,co_links,category,hangye,quxian,ximu
https://www.atobo.com.cn/GongShang/319/002099AA5432461DBF55097DF70F945B.html,地址：上海市宝山区金石路1688号D-073,上海彼祥机械设备有限公司,主营：,https://vemx887079.atobo.com.cn,上海市宝山塑料制品,化工,宝山,塑料制品
https://www.atobo.com.cn/GongShang/307/57A2C46044E14142A771949DEEE1D4D9.html,地址：上海市宝山区宝杨路1800号2号楼2932室,上海子成精密机械有限公司,主营：,https://iktg1015049.atobo.com.cn,上海市宝山塑料制品,化工,宝山,塑料制品
https://www.atobo.com.cn/GongShang/422/6C06344BF4754CEB969D776DA41137C1.html,地址：上海市宝山区月罗路2106号,上海含山瓷业有限公司罗店分公司,主营：,https://phwq967307.atobo.com.cn,上海市宝山塑料制品,化工,宝山,塑料制品
